,Depth,X16SBac,X16SBac_SD,X16SArc,X16SArc_SD,amoAArc,amoAArc_SD,hzo,hzo_SD
GS19_GC10_94,94,314437.74441129,18496.567922791,154518.553740169,11655.707264158,1.15E+05,1.89E+04,,
GS19_GC10_95,95,29547.7418881089,2165.91570317399,5660.5626812756,866.006259991998,5.64E+03,5.67E+01,,
GS19_GC10_96,96,21907.8972226098,2128.45196799627,1111.96179869314,44.5441791304836,6.66E+02,3.93E+02,,
GS19_GC10_97,97,23359.0679168701,1241.9661283493,4153.38897705079,1226.98414325714,6.29E+03,6.22E+02,,
GS19_GC10_98,98,183258.811768412,5440.7053026323,115543.448802961,16039.8720881231,8.09E+04,9.09E+03,,
GS19_GC10_99,99,20877.1679282847,886.470375798684,2009.3799296005,742.397321521906,4.33E+03,3.73E+02,,
GS19_GC10_100,100,18293.2402636554,2255.60810114887,NA,NA,,,,
GS19_GC10_101,101,623452.232186362,97724.4260157468,205825.1838922,4699.99927988666,1.40E+05,1.48E+04,,
GS19_GC10_102,102,119915.531907126,11728.339507201,53733.6388703819,6581.83195880641,3.87E+04,2.02E+03,,
GS19_GC10_103,103,274969.072750106,19780.9100614911,118811.340925758,18197.9116298809,9.44E+04,1.62E+04,,
GS19_GC10_104,104,16585.6346143922,2624.74514027895,411.648892170582,82.9321638305488,,,,
GS19_GC10_105,105,309861.575855929,4086.5379221299,115963.810709267,4032.43125294129,3.89E+04,4.65E+03,,
GS19_GC10_106,106,24856.1908764467,762.646215998993,3508.64553983327,969.421797082327,2.31E+03,9.58E+02,,
GS19_GC10_107,107,184743.245442708,4121.0086572738,96589.1883486793,15426.2576784406,4.66E+04,6.75E+03,,
GS19_GC10_108,108,22954.4183655423,592.938868138387,1726.01691865224,156.181372531023,6.13E+02,4.38E+02,,
GS19_GC10_109,109,41290.5728753238,3873.09349794439,10380.6674161697,149.720939085445,4.35E+03,9.57E+02,,
GS19_GC10_110,110,132334.552453636,35976.7218920944,41025.8573644302,2523.11578059332,1.82E+04,5.37E+02,,
GS19_GC10_111,111,536962.937216722,9040.40227409538,153822.990592199,8576.03531757384,8.07E+04,1.15E+04,,
GS19_GC10_112,112,430921.836521314,40104.7209034795,161702.197530996,20486.4564149276,6.41E+04,3.61E+03,,
GS19_GC10_113,113,320120.297945463,15001.4096039993,130161.886948806,12560.7281464797,4.96E+04,3.52E+03,,
GS19_GC10_114,114,512335.328494801,41797.7781856761,217173.806358786,23419.5449773004,8.76E+04,1.91E+04,,
GS19_GC10_115,115,387347.557697821,69138.3403813073,214568.111874641,4306.38103310121,7.26E+04,4.54E+03,,
GS19_GC10_116,116,347422.544417842,34836.8441674018,181487.859910534,31784.0969947077,8.05E+04,4.60E+03,,
GS19_GC10_117,117,851422.155835108,125643.257339875,302504.031500501,49050.5654252842,8.45E+04,1.12E+04,5.17E+04,1.14E+03
GS19_GC10_118,118,549986.065089581,38989.5802359959,206525.646450564,3097.78221270217,4.83E+04,1.42E+03,9.64E+04,8.65E+03
GS19_GC10_119,119,166551.668589352,39138.8507289741,121172.184252557,5809.39227388105,4.08E+04,5.29E+03,5.32E+04,1.40E+04
GS19_GC10_120,120,144318.295195175,11276.5015148726,65473.2572390268,7434.26226899552,1.46E+04,3.90E+03,1.83E+04,5.45E+03
GS19_GC10_121,121,299893.084365422,23451.9478608804,137034.961562167,26225.9786317089,1.37E+04,4.27E+03,,
GS19_GC10_122,122,220637.735247336,30377.2663019097,85957.7948975175,2398.31223012124,1.12E+04,3.57E+03,8.43E+04,1.05E+04
GS19_GC10_123,123,115835.389223966,8137.76850700378,74457.3766534979,8781.50137988004,1.09E+04,3.37E+03,4.38E+04,3.93E+03
GS19_GC10_124,124,134163.593796064,9223.13366296156,55688.0159198113,10923.1660950859,2.06E+03,4.47E+02,1.93E+05,2.78E+04
GS19_GC10_125,125,146227.803498434,14076.6652114234,84599.2258533581,2168.50185161114,1.90E+02,5.80E+01,1.30E+05,1.69E+03
GS19_GC10_126,126,161503.549055619,18944.0402117642,88766.7309154163,25119.3935220892,,,1.54E+05,1.26E+04
