"","Domain","Phylum","Class","Order","Family","Genus","Species"
"OTU_2480","Bacteria","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio","Unclassified_Bdellovibrio"
"OTU_2483","Bacteria","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Roseibacillus","Unclassified_Roseibacillus"
"OTU_2484","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","Unclassified_Saprospiraceae","Unclassified_Saprospiraceae"
"OTU_2485","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","Pseudohongiellaceae","Pseudohongiella","Unclassified_Pseudohongiella"
"OTU_2486","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Rubinisphaeraceae","Unclassified_Rubinisphaeraceae","Unclassified_Rubinisphaeraceae"
"OTU_2488","Bacteria","Proteobacteria","Gammaproteobacteria","Pseudomonadales","OM182 clade","Unclassified_OM182 clade","Unclassified_OM182 clade"
"OTU_2489","Archaea","Nanoarchaeota","Unclassified_Nanoarchaeota","Unclassified_Nanoarchaeota","Unclassified_Nanoarchaeota","Unclassified_Nanoarchaeota","Unclassified_Nanoarchaeota"
"OTU_2490","Bacteria","Sumerlaeota","Sumerlaeia","Unclassified_Sumerlaeia","Unclassified_Sumerlaeia","Unclassified_Sumerlaeia","Unclassified_Sumerlaeia"
"OTU_2491","Bacteria","Proteobacteria","Gammaproteobacteria","B2M28","Unclassified_B2M28","Unclassified_B2M28","Unclassified_B2M28"
"OTU_2492","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospiraceae","Unclassified_Magnetospiraceae","Unclassified_Magnetospiraceae"
"OTU_2493","Bacteria","Gracilibacteria phylum incertae sedis","Gracilibacteria","Unclassified_Gracilibacteria","Unclassified_Gracilibacteria","Unclassified_Gracilibacteria","Unclassified_Gracilibacteria"
"OTU_2494","Bacteria","Proteobacteria","Alphaproteobacteria","Unclassified_Alphaproteobacteria","Unclassified_Alphaproteobacteria","Unclassified_Alphaproteobacteria","Unclassified_Alphaproteobacteria"
