Sample,Extraction,Sequencing,Type,Depth,16SBac,16SBac_SD,16SArc,16SArc_SD,Proka16S,PoolingChoice
GS19_GC10_74_E1_S1,E1,S1,Sample,74,408765.450051302,64098.0839179958,210631.768714448,17973.6792217203,619397.21876575,
GS19_GC10_75_E1_S1,E1,S1,Sample,75,94469.4182236684,7116.12518369122,35430.5501634009,5509.26651469576,129899.968387069,
GS19_GC10_76_E1_S1,E1,S1,Sample,76,58814.6535361686,10943.0731796637,19417.7848536794,2117.96295352099,78232.438389848,
GS19_GC10_77_E1_S1,E1,S1,Sample,77,97762.6291910807,6545.70314619276,26492.7588568793,3254.29333580865,124255.38804796,
GS19_GC10_78_E1_S1,E1,S1,Sample,78,156094.488664107,39069.7236494584,67850.1736034047,5240.66773327914,223944.662267512,
GS19_GC10_79_E1_S1,E1,S1,Sample,79,245063.18553394,14186.9184986645,114550.124414709,3598.688454028,359613.309948649,
GS19_GC10_80_E1_S1,E1,S1,Sample,80,28416.3776383524,982.826327745799,8814.36979017293,2200.83964358476,37230.7474285253,
GS19_GC10_81_E1_S1,E1,S1,Sample,81,137745.621090844,40032.3368254162,84501.838684082,13073.8178888957,222247.459774926,
GS19_GC10_82_E1_S1,E1,S1,Sample,82,23159.0917933057,817.184350643939,3170.17739279228,213.721185399775,26329.269186098,
GS19_GC10_83_E1_S1,E1,S1,Sample,83,205813.524650805,7105.55799079664,131995.525938092,10588.5557694869,337809.050588897,discard
GS19_GC10_83_E1_S2,E1,S2,Sample,83,205813.524650805,7105.55799079664,131995.525938092,10588.5557694869,337809.050588897,keep
GS19_GC10_84_E1_S1,E1,S1,Sample,84,53377.9219676383,1280.0212434158,14214.353599096,2123.51201551233,67592.2755667343,
GS19_GC10_85_E1_S1,E1,S1,Sample,85,99940.3858636793,18222.9439794171,76606.4630300513,14071.9129010964,176546.848893731,
GS19_GC10_86_E1_S1,E1,S1,Sample,86,33065.7181295653,1051.47099872046,12630.4267789442,2067.0242175486,45696.1449085095,
GS19_GC10_87_E1_S1,E1,S1,Sample,87,27785.2425208459,4423.01362425416,11319.6991302155,2298.98311279632,39104.9416510614,
GS19_GC10_88_E1_S1,E1,S1,Sample,88,68496.0596309686,15582.533652738,25423.3532070373,2920.52245288162,93919.4128380059,pool
GS19_GC10_88_E2_S1,E2,S1,Sample,88,123600.982860395,10833.3405415723,55737.8052146572,9863.52665409161,179338.788075052,pool
GS19_GC10_89_E1_S1,E1,S1,Sample,89,20604.0438483743,1293.77280964571,,,20604.0438483743,pool
GS19_GC10_89_E2_S1,E2,S1,Sample,89,31190.6965268654,1788.14128074904,4671.68752011542,1453.93359741831,35862.3840469808,pool
GS19_GC10_90_E1_S1,E1,S1,Sample,90,138796.786604257,5102.05526139141,76872.3044869383,12898.2122239428,215669.091091195,
GS19_GC10_91_E1_S1,E1,S1,Sample,91,258234.950474331,21781.0162846346,120823.17660314,18267.0901280753,379058.127077471,
GS19_GC10_92_E1_S1,E1,S1,Sample,92,185535.22004554,2571.54110089019,112455.013409332,4764.97094235828,297990.233454872,
GS19_GC10_93_E1_S1,E1,S1,Sample,93,27817.4015070429,2261.30485534667,5693.49440517805,1186.25874550927,33510.8959122209,
GS19_GC10_94_E1_S1,E1,S1,Sample,94,314437.74441129,18496.567922791,154518.553740169,11655.707264158,468956.298151459,
GS19_GC10_95_E1_S1,E1,S1,Sample,95,29547.7418881089,2165.91570317399,5660.5626812756,866.006259991998,35208.3045693845,
GS19_GC10_96_E1_S1,E1,S1,Sample,96,21907.8972226098,2128.45196799627,1111.96179869314,44.5441791304836,23019.8590213029,
GS19_GC10_97_E1_S1,E1,S1,Sample,97,23359.0679168701,1241.9661283493,4153.38897705079,1226.98414325714,27512.4568939209,
GS19_GC10_98_E1_S1,E1,S1,Sample,98,183258.811768412,5440.7053026323,115543.448802961,16039.8720881231,298802.260571373,
