"X16SBac","X16SBac_SD","X16SArc","X16SArc_SD","amoAArc","amoAArc_SD","hzo","hzo_SD"
506053.721211956,31847.9121328595,250493.932200338,21932.6317429781,88200,8630,2505,250.5
472732.543945313,33804.3116316011,173973.971982546,4103.22418695764,91800,34200,2505,250.5
399011.45792896,26306.0670461714,147597.678996021,9915.15757874672,91800,4740,2505,250.5
343272.959493204,45880.3043097915,127947.487381991,4621.8871114727,74200,11400,2505,250.5
110850.030374425,11037.4678426714,30184.4314217314,3846.61058373035,14800,3620,2505,250.5
68035.7194190953,4211.29298291516,29416.7059680301,1445.02774847245,10900,1680,2505,250.5
317303.013752415,63768.2350394652,180581.916730429,11609.0931843237,50400,4570,2505,250.5
1374839.83039856,152685.981988907,119438.86578083,20011.4987790585,95,9.5,2505,250.5
334166.324013158,23486.3843415913,198733.289216694,1239.71384450009,73000,5120,2505,250.5
179377.716266556,32943.7356910959,111043.685003622,12365.7100248021,47800,9740,2505,250.5
284387.844619596,31308.335464818,163194.011819773,8025.55877345087,83400,11200,2505,250.5
288990.023917677,46330.0238011783,143279.032093855,17105.969551688,62100,15100,2505,250.5
408765.450051302,64098.0839179958,210631.768714448,17973.6792217203,98300,23000,2505,250.5
94469.4182236684,7116.12518369122,35430.5501634009,5509.26651469576,25100,6760,2505,250.5
58814.6535361686,10943.0731796637,19417.7848536794,2117.96295352099,6470,3750,2505,250.5
97762.6291910807,6545.70314619276,26492.7588568793,3254.29333580865,15000,4710,2505,250.5
156094.488664107,39069.7236494584,67850.1736034047,5240.66773327914,27000,3620,2505,250.5
245063.18553394,14186.9184986645,114550.124414709,3598.688454028,33100,2030,2505,250.5
28416.3776383524,982.826327745799,8814.36979017293,2200.83964358476,3570,1690,2505,250.5
137745.621090844,40032.3368254162,84501.838684082,13073.8178888957,34200,3710,2505,250.5
23159.0917933057,817.184350643939,3170.17739279228,213.721185399775,1420,308,2505,250.5
205813.524650805,7105.55799079664,131995.525938092,10588.5557694869,52600,7160,2505,250.5
53377.9219676383,1280.0212434158,14214.353599096,2123.51201551233,3080,224,2505,250.5
99940.3858636793,18222.9439794171,76606.4630300513,14071.9129010964,22200,5110,2505,250.5
33065.7181295653,1051.47099872046,12630.4267789442,2067.0242175486,4470,230,2505,250.5
27785.2425208459,4423.01362425416,11319.6991302155,2298.98311279632,8220,2740,2505,250.5
68496.0596309686,15582.533652738,25423.3532070373,2920.52245288162,15700,1150,2505,250.5
