Age,OTU_3_Median,OTU_3_LowerQuantile,OTU_3_UpperQuantile,OTU_16_Median,OTU_16_LowerQuantile,OTU_16_UpperQuantile,hzo_Median,hzo_LowerQuantile,hzo_UpperQuantile
33936,90.74872957625193,1.0,774.7642396701932,1.0,1.0,1.0,2504.013651181417,2366.470476298028,2642.6398431898724
33986,105.54881068763514,1.0,694.7694457098333,1.0,1.0,1.0,2503.996947146443,2366.455447449846,2642.621450777658
34036,98.51004834888198,1.0,650.27278547447,1.0,1.0,1.0,2504.7036867652137,2365.8599482468953,2642.4627085763577
34086,139.16390610279248,1.0,668.5324894295212,1.0,1.0,1.0,2503.963368407476,2365.356805286817,2642.569931528136
34136,101.93145226720004,1.0,647.9911609458812,1.0,1.0,1.0,2503.946634906514,2366.427105533958,2642.5489952190114
34186,100.92963055628955,1.0,497.12163355197197,1.0,1.0,1.0,2503.929821573107,2365.3384764374036,2641.4384218249374
34236,136.51496638913753,1.0,464.549232580363,1.0,1.0,1.0,2504.9957928409403,2366.409023282066,2642.499853262636
34286,105.68191891463516,1.0,364.6700695503848,1.0,1.0,1.0,2505.1112798493386,2366.798060819601,2642.3354184142754
34336,112.2936321238332,1.0,378.4944236675719,1.0,1.0,1.0,2504.962123969139,2366.3907335177582,2642.4509254326185
34386,126.68134936477719,1.0,272.25888202865184,1.0,1.0,1.0,2503.663461597454,2366.9977731928575,2643.544813258629
34436,123.62616213691162,1.0,263.9410480262615,1.0,1.0,1.0,2501.530151163377,2359.5771760326015,2643.483126294152
34486,1.0,1.0,304.9586427787567,1.0,1.0,1.0,2507.5049932742313,2348.4878354191446,2626.767861665546
34536,121.20770180872422,1.0,256.72613201206406,1.0,1.0,1.0,2525.4395291699802,2371.2106313803406,2628.2587943630733
34586,1.0,1.0,279.1025254477086,1.0,1.0,1.0,2509.30945401371,2367.735551456088,2650.883356571332
34636,1.0,1.0,251.34173315452824,1.0,1.0,1.0,2510.1180521944984,2370.659021888385,2649.5770825006125
34686,1.0,1.0,284.52312761261084,1.0,1.0,1.0,2501.263736134135,2343.1531290929906,2659.374343175279
34736,109.43696719906106,1.0,230.66028390098762,1.0,1.0,1.0,2482.7009835163076,2383.771443604272,2631.09529338436
34786,115.30276251296918,1.0,242.2481250584877,1.0,1.0,1.0,2533.0093327516715,2362.2334820740043,2646.8598998701164
34836,117.26670538339663,1.0,246.27238551951788,1.0,1.0,1.0,2519.557071420831,2350.77926192597,2632.0756110840716
34886,1.0,1.0,265.8925026751121,1.0,1.0,1.0,2482.669106040281,2368.106140832745,2654.5135538515847
